Year,India
1974,19.12534647
1975,17.37321196
1976,16.90391459
1977,17.83517835
1978,20.96174029
1979,23.35449382
1980,24.80036161
1981,26.62855707
1982,28.20298108
1983,26.36978093
1984,29.65061781
1985,32.93916562
1986,34.26514444
1987,36.19105777
1988,35.42322569
1989,34.85417716
1990,35.79393476
1991,32.62864099
1992,31.17622627
1993,29.30398031
1994,28.38862765
1995,31.59740015
1996,33.11303024
1997,28.62314937
1998,27.97501895
1999,28.00957194
2000,25.02241058
2001,21.40019994
2002,20.65696873
2003,19.05200003
2004,18.82947816
2005,17.71941707
2006,18.1763081
2007,17.33111691
2008,16.20672793
2009,13.32896736
2010,17.10815664
2011,16.78730894
2012,17.31832481
2013,15.15240276
2014,15.09989753
2015,14.44141334
2016,13.01200648
2017,6.944179672
2018,4.948279673
