Financial year,Revenue Realization From - Direct Taxes,Revenue Realization From - Indirect Taxes,Revenue Realization From - Total Taxes,% Annual Growth - Direct Taxes,% Annual Growth - Indirect Taxes,% Annual Growth - Total Taxes,% Share in Total Taxes - Direct Taxes,% Share in Total Taxes - Indirect Taxes
2000,68305,119814,188119,,,,36.3,63.7
2001,69198,117318,186516,1.3,2.1,0.9,37.1,62.9
2002,83088,132608,215696,20.1,13,15.6,38.5,61.5
2003,105088,148608,253696,26.5,12.1,17.6,41.4,58.6
2004,132771,170936,303707,26.3,15,19.7,43.7,56.3
2005,165216,199348,364564,24.4,16.6,20,45.3,54.7
2006,230181,241538,471719,39.3,21.2,29.4,48.8,51.2
2007,314330,279031,593361,36.6,15.5,25.8,53,47
2008,333818,269433,603251,6.2,3.4,1.7,55.3,44.7
2009,378063,243939,622002,13.3,9.5,3.1,60.8,39.2
2010,445995,343716,789711,18,40.9,27,56.5,43.5
2011,493987,390953,884940,10.8,13.7,12.1,55.8,44.2
2012,558989,472915,1031904,13.2,21,16.6,54.2,45.8
2013,638596,495347,1133943,14.2,4.7,9.9,56.3,43.7
2014,695792,543215,1239007,9,9.7,9.3,56.2,43.8
2015,742295,711885,1454180,6.7,31.1,17.4,51,49
2016,849713,861625,1711338,14.47,21.03,17.68,49.65,50.35
2017,1002037,911653,1913690,17.92,5.8,11.82,52.38,47.62
2018,1137718,937379,2075097,13.54,2.82,8.43,54.82,45.18
2019,1233720,1119360,2353080,8.44,19.41,13.39,52.43,47.47
