Year,India
1974,7.48004744
1975,8.03808012
1976,7.974997248
1977,7.579990481
1978,8.225327683
1979,8.196551937
1980,7.784715146
1981,7.471436077
1982,7.153184863
1983,7.752875113
1984,7.419617528
1985,7.574710779
1986,7.456846188
1987,7.413144861
1988,7.273728149
1989,7.373872242
1990,6.971280089
1991,6.994429796
1992,6.645020814
1993,5.646053949
1994,5.758667927
1995,5.230910336
1996,5.136454864
1997,4.907462392
1998,4.729662634
1999,4.800972727
2000,4.847925677
2001,4.767501025
2002,4.895060947
2003,4.992375951
2004,4.928565782
2005,5.164005532
2006,5.08324318
2007,4.818135355
2008,4.368418959
2009,3.536761451
2010,3.782020605
2011,3.80984103
2012,4.338376437
2013,4.588124447
2014,3.915371608
2015,4.93524392
2016,5.69421069
2017,6.398492572
2018,7.172657673
