Year,India
1974,21.0338916
1975,22.78940624
1976,21.59101814
1977,20.2388163
1978,18.7452239
1979,18.68417453
1980,17.77220762
1981,18.74395151
1982,17.79390935
1983,17.1545162
1984,15.67445619
1985,15.03501342
1986,14.37583317
1987,13.87429624
1988,15.513593
1989,14.46523194
1990,14.83795879
1991,17.25680641
1992,17.77098648
1993,19.60539018
1994,21.62284972
1995,22.50551473
1996,22.40547789
1997,20.6159161
1998,23.51393734
1999,24.61901035
2000,27.01449529
2001,26.73417367
2002,28.45409382
2003,31.50188648
2004,34.06766366
2005,35.93356819
2006,39.49833951
2007,43.92094289
2008,45.22831034
2009,50.27095205
2010,43.38476173
2011,48.38437789
2012,44.83891003
2013,46.57921277
2014,47.67311652
2015,42.85594104
2016,42.46947761
2017,45.77204651
2018,45.64661902
