Year,India
1974,24.56113335
1975,27.7503251
1976,26.69039146
1977,26.15453427
1978,23.40425532
1979,22.81991313
1980,21.8999548
1981,23.11702996
1982,22.44180204
1983,20.95776808
1984,19.83383042
1985,18.94795591
1986,18.19140284
1987,17.60036109
1988,19.45443915
1989,18.92598474
1990,18.60040991
1991,22.10427863
1992,23.45083538
1993,26.61967687
1994,28.87294949
1995,29.90012316
1996,29.91022196
1997,27.52120912
1998,32.01427091
1999,33.51285575
2000,36.00280066
2001,36.7809087
2002,38.26907605
2003,41.26347574
2004,43.29579811
2005,44.26522319
2006,47.47271452
2007,52.57870309
2008,52.78160509
2009,58.77728265
2010,55.20633688
2011,54.8143691
2012,52.25415503
2013,53.43943942
2014,55.21131302
2015,50.39408593
2016,48.99060101
2017,51.24203607
2018,50.14850827
