Year,India
1974,19.82065146
1975,15.90132422
1976,16.19806161
1977,16.25854461
1978,18.09567477
1979,19.9972644
1980,21.43424833
1981,22.36540519
1982,23.61898017
1983,22.54963509
1984,23.70866725
1985,26.36663068
1986,28.1708246
1987,28.679964
1988,28.34265835
1989,26.69547971
1990,28.60349438
1991,25.79538474
1992,24.14003168
1993,21.86114778
1994,21.73726063
1995,24.19511997
1996,24.92917023
1997,21.62809344
1998,20.7734626
1999,20.70966942
2000,18.92188781
2001,15.64680831
2002,15.42021213
2003,14.59624626
2004,14.86489973
2005,14.42570541
2006,15.16877229
2007,14.66322287
2008,14.13931496
2009,11.41107336
2010,13.45789114
2011,14.82462846
2012,14.8663025
2013,13.21033366
2014,13.04096002
2015,12.28833759
2016,11.28892504
2017,6.207491658
2018,4.508555435
